Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
24-06-2026 00:00,10:39,CNR7153255142,Canceled by Driver,CID713523,Prime Sedan,Gurugram Cyber City,Golf Course Extension Road,null,null,null,Personal & Car related issue,null,null,444,null,0,null,null
21-06-2026 00:00,09:44,CNR2940424040,Success,CID225428,Bike,IGI Airport,Preet Vihar,203,30,null,null,No,null,158,Cash,13,4.1,4
19-06-2026 00:00,17:19,CNR2982357879,Success,CID270156,Prime SUV,Hauz Khas,Noida Sector 150,238,130,null,null,No,null,386,UPI,40,4.2,4.8
06-06-2026 00:00,19:52,CNR2395710036,Canceled by Customer,CID581320,eBike,Saket,Karkardooma,null,null,Driver is not moving,null,null,null,384,null,0,null,null
11-06-2026 00:00,16:47,CNR1797421769,Success,CID939555,Mini,Greater Noida,Dwarka,252,80,null,null,No,null,822,Credit Card,45,4,3
07-06-2026 00:00,12:10,CNR8787177882,Success,CID802429,Mini,Noida Sector 76,Golf Course Extension Road,231,90,null,null,No,null,173,UPI,41,3.4,4.6
03-06-2026 00:00,14:54,CNR3612067560,Success,CID476071,Bike,Noida Sector 142,Mehrauli,133,40,null,null,No,null,140,Cash,49,3.2,4.5
08-06-2026 00:00,00:01,CNR5374902489,Canceled by Driver,CID735691,Prime Plus,MG Road Gurugram,New Delhi Railway Station,null,null,null,Personal & Car related issue,null,null,344,null,0,null,null
09-06-2026 00:00,15:21,CNR5030602354,Driver Not Found,CID999840,Mini,Vivek Vihar,Karol Bagh,null,null,null,null,null,null,839,null,0,null,null
20-06-2026 00:00,20:00,CNR6328453219,Canceled by Driver,CID907133,Auto,DLF Phase 1,Lajpat Nagar,null,null,null,Personal & Car related issue,null,null,893,null,0,null,null
14-06-2026 00:00,13:07,CNR4787583516,Success,CID923404,Prime Plus,Noida Sector 18,Connaught Place,35,55,null,null,No,null,164,Cash,46,4.5,3.4
27-06-2026 00:00,17:03,CNR7943634301,Success,CID647026,Prime Plus,Rohini,Saket,238,95,null,null,No,null,399,Cash,18,3.9,4.4
23-06-2026 00:00,16:35,CNR4524472111,Success,CID540929,Auto,Golf Course Road,Sohna Road,126,35,null,null,No,null,330,UPI,8,3,4.8
10-06-2026 00:00,11:50,CNR3914552212,Canceled by Driver,CID557845,Auto,Malviya Nagar,Noida City Centre,null,null,null,Personal & Car related issue,null,null,427,null,0,null,null
